steamid,personaname,personastate,communityvisibilitystate,profilestate,cityid,loccountrycode,loccityid,avgPrice,maxRequiredAge,usesMultiplayer,Genres,Publishers,Developers,Categories
76561197960265730,alfred,1,3,1,,,,13.169821428571433,17,1,"Action,Adventure,Early Access,Indie,Massively Multiplayer,RPG,Simulation,Free to Play,Strategy,Casual","22cans Ltd.,2K Games,Aspyr (Mac, Linux),3909,Bethesda Softworks,Celsius Game Studios,Days of Wonder,Double Fine Productions,Facepunch Studios,Greenheart Games,Hanako Games,Introversion Software,Klei Entertainment,Larian Studios,Murudai,Pathea Games,Perfect World Entertainment,Positech,Runic Games,Santa Ragione,SEGA,Squad,Subset Games,Telltale Games,Valve,Versus Evil","22cans,2K Australia,2K Boston,3909,Aspyr (Mac, Linux),Firaxis Games,Celsius Game Studios,Cryptic Studios,Days of Wonder,Double Fine Productions,Facepunch Studios,Gearbox Software,Greenheart Games,Hanako Games,Introversion Software,Klei Entertainment,Larian Studios,Murudai,Pathea Games,Runic Games,Santa Ragione,Squad,Stoic,Subset Games,Telltale Games,The Tiniest Shark,Three Rings,Valve,Zenimax Online Studios",game
76561197960265734,derrickb,0,3,1,,,,6.99,0,1,Action,Valve,"Gearbox Software,Valve",game
76561197960265738,Gregori,4,3,1,,US,4030,11.225312500000005,17,1,"Action,Adventure,Indie,Casual,Early Access,Free to Play,Strategy,RPG,Simulation,Racing","2K Games,Aspyr (Mac & Linux),Adult Swim Games,AGM PLAYISM,Dinosaur Polo Club,BANDAI NAMCO Entertainment,Bethesda Softworks,Brace Yourself Games,Klei Entertainment,Cadenza Interactive,Cardboard Computer,Carlsen Games,Codemasters,Coffee Stain Studios,Devolver Digital,Disney Interactive,Feral Interactive (Mac),LucasArts,Lucasfilm,Dmytry Lavrov,Double Fine Productions,Feral Interactive (Linux),Square Enix,Final Form Games,Frictional Games,Gaijin Games,Giant Army,Kalypso Media Digital,Kyle Pulver,Little Worlds Interactive,Ludosity,Might and Delight,Nordic Games,Reloaded Games,Rovio Entertainment Ltd,SEGA,Terry Cavanagh,Ubisoft,Valve,Versus Evil,Zachtronics","Aspyr (Mac & Linux),Gearbox Software,Bethesda Game Studios,Blit Software,Blue Fang,Brace Yourself Games,Cadenza Interactive,Cardboard Computer,Carlsen Games,Codemasters Birmingham,Coffee Stain Studios,Crystal Dynamics,Feral Interactive (Linux),Feral Interactive (Mac),Dennaton Games,Devil's Details,Dinosaur Polo Club,Dmytry Lavrov,Double Fine Productions,Traveller's Tales,Final Form Games,Frictional Games,FromSoftware,Gaijin Games,Giant Army,Kyle Pulver,Little Worlds Interactive,Ludosity,Might and Delight,Reloaded Games,Rovio Entertainment Ltd,Stoic,Studio Bean,Technetium Games,Terry Cavanagh,Ubisoft - San Francisco,Ubisoft Montreal,Valve,Zachtronics","game,video"
76561197960265740,johnc,0,3,1,,AU,4898,15.590500000000004,18,1,"Action,Adventure,Casual,Early Access,Free to Play,Indie,RPG,Strategy,Simulation","2K Games,Aspyr (Mac, Linux),Feral Interactive (Linux),Feral Interactive (Mac),3909,505 Games,AMPLITUDE Studios,BANDAI NAMCO Entertainment,FromSoftware, Inc,Cardboard Computer,Demruth,Devolver Digital,Edmund McMillen,Galactic Cafe,Hanako Games,Iceberg Interactive,Kasedo Games,Larian Studios,Microsoft Studios,NeocoreGames,Paradox Interactive,Runic Games,Sauropod Studio,SEGA,Shining Rock Software LLC,Smartly Dressed Games,Stone Blade Entertainment,Team17 Digital Ltd,Telltale Games,Triumph Studios,Ubisoft,Valve,Versus Evil","3909,Alexander Bruce,AMPLITUDE Studios,Aspyr (Mac, Linux),Firaxis Games,Cardboard Computer,Creative Assembly,Dennaton Games,Edmund McMillen and Florian Himsl,Ensemble Studios,Hidden Path Entertainment,Skybox Labs,Feral Interactive (Linux),Feral Interactive (Mac),FromSoftware, Inc,Galactic Cafe,Gearbox Software,Hanako Games,Larian Studios,Longbow Games,NeocoreGames,Obsidian Entertainment,Paradox Development Studio,Runic Games,Sauropod Studio,Shining Rock Software LLC,Smartly Dressed Games,Starbreeze Studios AB,Stoic,Stone Blade Entertainment,Team17 Digital Ltd,Telltale Games,Triumph Studios,Ubisoft Montreal,Valve,Zero Sum Games",game
76561197960265742,Swarley,0,1,1,,,,10.777500000000003,17,1,"Action,Adventure,Indie,RPG,Free to Play,Massively Multiplayer,Strategy,Sports,Simulation,Casual,Early Access","2D BOY ,2K Games,Aspyr (Mac & Linux),Feral Interactive (Linux),Feral Interactive (Mac),Activision,Aspyr (Mac),Bohemia Interactive,CCP,Electronic Arts,Gazillion Entertainment,New World Interactive,Paradox Interactive,Ragequit Corporation,Re-Logic,Red 5 Studios,Runic Games,Square Enix,Stone Blade Entertainment,Team17 Digital Ltd,Trion Worlds,Uber Entertainment,Valve,Wizards of the Coast LLC","2D BOY,Arrowhead Game Studios,Aspyr (Mac & Linux),Gearbox Software,Aspyr (Mac),Infinity Ward,Firaxis Games,Bohemia Interactive,CCP,DICE,Facepunch Studios,Feral Interactive (Linux),Feral Interactive (Mac),Gazillion Entertainment,New World Interactive,Psyonix,Ragequit Corporation,Re-Logic,Red 5 Studios,Runic Games,Stainless Games,Stainless Games Ltd,Stone Blade Entertainment,Team17 Digital Ltd,Trion Worlds,Uber Entertainment,Valve","dlc,game,mod"
76561197960265744,ChrisB,1,3,1,,CA,4832,12.975846153846158,18,1,"Action,Adventure,Casual,Early Access,Free to Play,Indie,Simulation,RPG,Massively Multiplayer,Strategy,Sports","22cans Ltd.,2K Games,Aspyr (Mac),Adult Swim Games,Aperture Tag Team,Bethesda Softworks,Big Robot Ltd,Demruth,Electronic Arts,Endnight Games Ltd,Feral Interactive (Linux),Feral Interactive (Mac),Square Enix,Freejam,GSC Game World,Kalypso Media Digital,Microsoft Studios,Re-Logic,Rebellion,Red Barrels,Rockstar Games,Saibot Studios,Sauropod Studio,SCS Software,Smartly Dressed Games,Squad,Subset Games,Suspicious Developments,The Chinese Room,Trapdoor,Ubisoft,Valve","22cans,2K Czech,Airtight Games,Alexander Bruce,Aperture Tag Team,Aspyr (Mac),Irrational Games,Virtual Programming (Linux),Bethesda Game Studios,Big Robot Ltd,Cellar Door Games,Crystal Dynamics,Feral Interactive (Linux),Feral Interactive (Mac),Crytek,Endnight Games Ltd,Freejam,Gearbox Software,GSC Game World,Haemimont Games,Klei Entertainment,Maxis™,crophone Games,Polytron Corporation,Psyonix,Re-Logic,Rebellion,Red Barrels,Robert Briscoe,The Chinese Room,Rockstar Leeds,Team Bondi,Saibot Studios,Sauropod Studio,SCS Software,Smartly Dressed Games,Squad,Subset Games,Suspicious Developments,Telltale Games,Ubisoft Montreal,Ubisoft Toronto,Valve,","dlc,game,mod"
76561197960265748,nemrod,0,3,,,,,9.6308,0,1,Action,"Activision,Aspyr (Mac),Valve","Aspyr (Mac),Infinity Ward,Gearbox Software,Valve",game
76561197960265756,RoA|jayson,0,3,1,,SE,43754,9.164782608695653,17,1,"Action,Free to Play,Strategy,Indie,Simulation","Coffee Stain Studios,Electronic Arts,Valve","Coffee Stain Studios,DICE,Facepunch Studios,Gearbox Software,Valve",game
76561197960265764,Sf,0,1,1,,,,12.776840277777712,18,1,"Action,Adventure,Casual,Early Access,Free to Play,Indie,Massively Multiplayer,RPG,Simulation,Strategy,Racing,Sports,Animation & Modeling,Design & Illustration,Photo Editing,Utilities","1C Company,1C-SoftClub,2K Games,Aspyr (Mac), Linux),38 Studios,Electronic Arts,505 Games,Activision,Almost Human Games,AMPLITUDE Studios,BANDAI NAMCO Entertainment,FromSoftware, Inc,Bethesda Softworks,Big Sandwich Games,Bleank,Blendo Games,Bohemia Interactive,Brawsome,Brian Cronin,Buka Entertainment,Codemasters,Feral Interactive (Mac),Coffee Stain Studios,Crytek ,Daedalic Entertainment,Dead Mage,Deck13,Deep Silver,Devolver Digital,Digital Extremes,Empty Clip Studios,Epic Games, Inc.,Eyebrow Interactive,Facepunch Studios,Fatshark,Feral Interactive (Linux),SEGA,Square Enix,Warner Bros. Interactive Entertainment,Freebird Games,Frictional Games,Frogames,Frozenbyte,Futuremark,Gaijin Games,Giant Army,Gravity Europe SAS,GSC Game World,Headup Games,Iceberg Interactive,id Software,Meridian4,Microsoft Studios,MinMax Games Ltd.,Ndemic Creations,Next Dimension Game Adventures Ltd.,Nicalis,Nordic Games,THQ,OP Productions LLC,Paradox Interactive,Playdead,Re-Logic,Rebellion,Remedy Entertainment Ltd.,Robot Entertainment,Rockstar Games,Ronimo Games,Smartly Dressed Games,SMP,Spaces of Play,Strategy First,Superflat Games,SuperVillain Studios,The Chinese Room,Trendy Entertainment,Trion Worlds,Tripwire Interactive,Two Tribes,Ubisoft,Valve,XSEED","1C Company,2DEngine.com,38 Studios,Big Huge Games,4A Games,Almost Human Games,Altar Games,AMPLITUDE Studios,Anuman / Microids,Arkane Studios,Arrowhead Game Studios,Artematica Entertainment,Ascaron Entertainment ltd.,Aspyr (Mac),Infinity Ward,Sledgehammer Games,Irrational Games,Virtual Programming (Linux), Linux),Firaxis Games,Avalanche Studios,Best Way,Bethesda Game Studios,Big Sandwich Games,Black Element,Bleank,Blendo Games,Bohemia Interactive,Brawsome,Brian Cronin,Bugbear Entertainment,Buka Entertainment,Lesta Studio,CINEMAX, s.r.o.,ClockStone Studios,Clockstone,Headup Games,Codemasters Racing,Feral Interactive (Mac),Coffee Stain Studios,Cornfox & Brothers Ltd.,Mountain Sheep Inc.,Remedy Entertainment Ltd.,Crystal Dynamics,Crytek,Daedalic Entertainment,Dagger Games,Darkling Room,Day 1 Studios,Dead Mage,Deck 13,Deck13,Deepred,Defence Alliance Team,Dennaton Games,Devil's Details,Dialogue Design,Digital Extremes,Kaos Studios,Digitalmindsoft,Double Helix Games,Nordic Games,Rainbow Studios,Dust Devil Studios Inc.,Dylan Fitterer,Eidos Interactive,Eidos Studio Hungary,Eidos-Montréal,Elephant Games,Elite Games Team,Empty Clip Studios,Ensemble Studios,SkyBox Labs,Epic Games,Eyebrow Interactive,Facepunch Studios,Fatshark,Feral Interactive (Linux),The Creative Assembly,Rocksteady Studios,Freebird Games,Freegamer,Frictional Games,Frogames,FromSoftware,Frozenbyte,Futuremark,Gaijin Games,Gas Powered Games,Gearbox Software,Giant Army,Gray Matter Studios,GSC Game World,Haggard Games,Headup Games / Radon Labs,Silent Dreams,Hermitworks Entertainment ,Honeyslug,Icehole Games,id Software,Infinite Interactive,Ino-Co,Invent4 Entertainment,IO Interactive,Ion Storm,IonFX,Iron Lore Entertainment,Jasper Byrne,Katauri Interactive,KDV Games,Klei Entertainment,Lesta Studios Inc,Noviy Disk,Malfador Machinations,Mascot Entertainment,Milestone S.r.l.,MinMax Games Ltd.,Momentum Digital Media Technologies,Muzzy Lane,Nadeo,Ndemic Creations,Nicalis,Studio Pixel,Nihon Falcom,Reactor Zero,Volition,Ntronium Games,Obsidian Entertainment,OP Productions LLC,OVERKILL - a Starbreeze Studio.,Parallax Arts Studio,Pivotal Games,Playdead,PopCap Games,SQUARE ENIX,Radical Entertainment,Rake in Grass,Raven Software,RavenSoft / id Software,Re-Logic,Rebellion,Redlynx Ltd,Ubisoft  Shanghaï,edLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev,Relic,Relic Entertainment,Ritual Entertainment,Robert Briscoe,The Chinese Room,Robot Entertainment,Rockstar North,Rockstar Toronto,Rogue Entertainment,Ronimo Games,RTL interactive,Sick Puppies,Sky Fallen,SkyRiver Studios,Smartly Dressed Games,SoftLab-NSK,Sonalysts,Spaces of Play,Splash Damage,Steel Monkeys,Strategy First,Supergiant Games,SuperVillain Studios,Team Meat,Techland,The Farm 51,Totem Games,Trendy Entertainment,Treyarch,Trion Worlds,Tripwire Interactive,Two Tribes,Ubisoft Montreal,Unicorn Games Studio,United Front Games,Valve,Vigil Games,White Birds Productions,X-Bow Software,Xatrix Entertainment,Xavi Canal, Ben Palgi,","dlc,game,mod"
76561197960265778,jxtn,0,1,1,,,,13.214313186813095,18,1,"Action,Adventure,Casual,Indie,Strategy,Early Access,Massively Multiplayer,RPG,Simulation,Sports,Free to Play,Racing","1C Company,1C-SoftClub,CD PROJEKT RED,2K Games,Aspyr (Mac & Linux),Feral Interactive (Linux),Feral Interactive (Mac),505 Games,800 North and Digital Ranch,Abbey Games,ACE,Topware Interactive,Activision,Aspyr (Mac),Atari,Electronic Arts,BANDAI NAMCO Entertainment,Bethesda Softworks,bitComposer Games,ND Games,Bohemia Interactive,Brian Cronin,Capcom,Codemasters,Coffee Stain Studios,Colibri Games,Daybreak Game Company,Deep Silver,Devolver Digital,DiezelPower,Epic Games, Inc.,Facepunch Studios,Square Enix,Kalypso Media Digital,Warner Bros. Interactive Entertainment,Frictional Games,Frozenbyte,GSC Game World,Headup Games,Hidden Path Entertainment,id Software,Ignition Entertainment,KISS ltd,Klei Entertainment,Level Up Labs,LucasArts,Meridian4,Microsoft Studios,Monochrome,MumboJumbo,Nether Productions, LLC,New World Interactive,Nordic Games,THQ,NovaLogic,OP Productions LLC,Penny Arcade,Perfect World Entertainment,Playdead,Pocketwatch Games,PopCap Games,Puppy Games,Ragequit Corporation,Remedy Entertainment,Reverb Triple XP,Robot Entertainment,Rockstar Games,Ronimo Games,Rovio Entertainment Ltd,Sakari Games,Sakari Indie,SCS Software,SEGA,Sigma Team Inc.,Sos Mikolaj Kaminski,South East Games,Squad,Strategy First,Subsoap,TaleWorlds Entertainment,Tate Multimedia,Telltale Games,The Quantum Astrophysicists Guild,TREK Industries,Trendy Entertainment,Tripwire Interactive,Uber Entertainment,Ubisoft,Unknown Worlds Entertainment,Valve,Vanguard Entertainment Group","1C Company,2DEngine.com,2K Marin,343 Industries,Vanguard Games,4A Games,800 North and Digital Ranch,Abbey Games,Alligator Pit,Croteam,Arkane Studios,Arkedo,Aspyr (Mac & Linux),Gearbox Software,Aspyr (Mac),EA - Maxis,Frontier,Infinity Ward,Sledgehammer Games,Avalanche Studios,Best Way,Bethesda Game Studios,BioWare,Bohemia Interactive,Brian Cronin,BUGBEAR,Bugbear Entertainment,Capcom,Capcom Vancouver,CD PROJEKT RED,CINEMAX, s.r.o.,Codemasters Studios,Coffee Stain Studios,Colibri Games,Core Design,Creat Studio,Criterion Games,Crystal Dynamics,Feral Interactive (Linux),Feral Interactive (Mac),Crytek,Crytek Studios,Day 1 Studios,Decaying Logic,Deep Silver Volition,Defence Alliance Team,Dennaton Games,Devil's Details,DICE,DiezelPower,Double Helix Games,Nordic Games,Rainbow Studios,Dylan Fitterer,EA Los Angeles,EA Redwood Shores,Eden Studios,Eggtooth Team,Electronic Arts,Epic Games, Inc.,Facepunch Studios,Firaxis Games,Haemimont Games,IO Interactive,Rocksteady Studios,Freegamer,Frictional Games,FromSoftware,Frozenbyte,GSC Game World,Hardsuit Labs,Headup Games / Radon Labs,Hidden Path Entertainment,High Voltage Software,NetherRealm Studios,Homegrown Games,id Software,Invent4 Entertainment,Ion Storm,IonFX,Kaos Studios,Klei Entertainment,Kudosoft,Level Up Labs, LLC,LucasArts,Lukewarm Media,Meridian4,Octane Games,MicroProse Software,Mindware Studios,Monochrome,Monolith Productions,Timegate,MumboJumbo,NAMCO BANDAI Games,New World Interactive,Reactor Zero,NovaLogic,Obsidian Entertainment,OP Productions LLC,OVERKILL - a Starbreeze Studio.,OVERKILL Software,People Can Fly,Phosphor Games Studio,Playdead,Pocketwatch Games,PopCap Games,Psyonix,Puppygames,Ragequit Corporation,Raven Software,Reality Pump Studios,Rebellion,Red Storm Entertainment,Ubisoft Paris,Relic Entertainment,Remedy Entertainment,Retro64,Ritual Entertainment,Robot Entertainment,Rockstar Games,Rockstar North,Rockstar Toronto,Rogue Entertainment,Ronimo Games,Rovio Entertainment Ltd,RTL interactive,Sakari Indie,Sakari Indie & GriN,SCS Software,Serellan LLC,Sigma Team Inc.,Sky Fallen,Slightly Mad Studios,Sos,South East Games,Southend,SpinTop Games,Spiral Game Studios,Squad,Straandlooper,Subsoap,Synergy Team,TaleWorlds Entertainment,Targem Games,Tate Multimedia,Team 6 Studios,Techland,Telltale Games,The Chinese Room,The Sims Studio,ToonTRAXX Studios,Topware Interactive,Trendy Entertainment,Treyarch,Tripwire Interactive,Ty Taylor and Mario Castañeda,ber Entertainment,Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai,Undead Labs,Unknown Worlds Entertainment,Valve,Visceral Games,Xatrix Entertainment,Zeboyd Games,Zombie Panic Team,Zombie Studios,","dlc,game,mod"
